Mypy Type Check Coverage Summary
================================

Script: index

+------------------------------------------------------------+-------------------+----------+
| Module                                                     | Imprecision       | Lines    |
| app.services.backup.local.filesystem_backup_service        |   0.00% imprecise |    1 LOC |
| app.services.backup.local.local_backup_manager             |   0.00% imprecise |    1 LOC |
| app.services.backup.notifications                          |   0.00% imprecise |    1 LOC |
| app.services.backup.notifications.backup_reporter          |   0.00% imprecise |    1 LOC |
| app.services.backup.notifications.email_notifier           |   0.00% imprecise |    1 LOC |
| app.services.backup.notifications.failure_alerter          |   0.00% imprecise |    1 LOC |
| app.services.backup.restoration                            |   0.00% imprecise |    1 LOC |
| app.services.backup.restoration.database_restore_service   |   0.00% imprecise |    1 LOC |
| app.services.backup.restoration.filesystem_restore_service |   0.00% imprecise |    1 LOC |
| app.services.backup.restoration.restore_orchestrator       |   0.00% imprecise |    1 LOC |
| app.services.backup.restoration.restore_validator          |   0.00% imprecise |    1 LOC |
| app.services.backup.scheduling                             |   0.00% imprecise |    1 LOC |
| app.services.backup.scheduling.backup_scheduler            |   0.00% imprecise |    1 LOC |
| app.services.backup.scheduling.job_executor                |   0.00% imprecise |    1 LOC |
| app.services.backup.scheduling.retry_handler               |   0.00% imprecise |    1 LOC |
| app.services.backup.validation                             |   0.00% imprecise |    1 LOC |
| app.services.backup.validation.backup_verifier             |   0.00% imprecise |    1 LOC |
| app.services.backup.validation.integrity_checker           |   0.00% imprecise |    1 LOC |
| app.services.backup.validation.manifest_validator          |   0.00% imprecise |    1 LOC |
| app.services.backup.validation.restore_tester              |   0.00% imprecise |    1 LOC |
| app.services.document                                      |   0.00% imprecise |    1 LOC |
| app.services.document.document_manager                     |  10.48% imprecise |  334 LOC |
| app.services.document.file_system_handler                  |   0.00% imprecise |    1 LOC |
| app.services.document.metadata_extractor                   |   3.58% imprecise |  391 LOC |
| app.services.document.pointer_resolver                     |  27.27% imprecise |  143 LOC |
| app.services.gis                                           |   0.00% imprecise |    1 LOC |
| app.services.gis.area_calculator                           |  22.06% imprecise |   68 LOC |
| app.services.gis.masterplan_overlay                        |  21.75% imprecise |  331 LOC |
| app.services.gis.polygon_intersection                      |  22.03% imprecise |  118 LOC |
| app.services.gis.spatial_analyzer                          |  18.64% imprecise |  338 LOC |
| app.services.location                                      |   0.00% imprecise |    1 LOC |
| app.services.location.location_validator                   |   0.00% imprecise |    1 LOC |
| app.services.location.physical_finder                      |   0.00% imprecise |    1 LOC |
| app.services.location.storage_mapper                       |   0.00% imprecise |    1 LOC |
| app.services.qr                                            |   0.00% imprecise |    1 LOC |
| app.services.qr.digital_testimony_builder                  |   0.00% imprecise |    1 LOC |
| app.services.qr.qr_generator                               |   0.00% imprecise |    1 LOC |
| app.services.qr.verification_service                       |   0.00% imprecise |    1 LOC |
| app.services.tax                                           |   0.00% imprecise |    1 LOC |
| app.services.tax.assessment_generator                      |  14.66% imprecise |  232 LOC |
| app.services.tax.payment_processor                         |  28.29% imprecise |  258 LOC |
| app.services.tax.penalty_engine                            |  17.56% imprecise |  205 LOC |
| app.services.tax.tax_calculator                            |   8.98% imprecise |  167 LOC |
| app.tasks                                                  |   0.00% imprecise |    1 LOC |
| app.tasks.background_workers                               |   0.00% imprecise |    1 LOC |
| app.tasks.celery_app                                       |   0.00% imprecise |    1 LOC |
| app.tasks.scheduled_tasks                                  |   0.00% imprecise |    1 LOC |
| app.utils                                                  |   0.00% imprecise |    1 LOC |
| app.utils.checksum_calculator                              |   0.00% imprecise |    1 LOC |
| app.utils.compression_helper                               |   0.00% imprecise |    1 LOC |
| app.utils.coordinate_transformations                       |   0.00% imprecise |    1 LOC |
| app.utils.date_helpers                                     |   0.00% imprecise |    1 LOC |
| app.utils.file_validators                                  |   0.00% imprecise |    1 LOC |
| app.utils.geometry_helpers                                 |   0.00% imprecise |    1 LOC |
| app.utils.path_resolver                                    |   0.00% imprecise |    1 LOC |
| env                                                        |   4.35% imprecise |   69 LOC |
| tests                                                      |   0.00% imprecise |    1 LOC |
| tests.conftest                                             |   0.00% imprecise |    1 LOC |
| tests.integration.test_api_endpoints                       |   0.00% imprecise |    1 LOC |
| tests.integration.test_backup_workflow                     |   0.00% imprecise |    1 LOC |
| tests.integration.test_database_operations                 |   0.00% imprecise |    1 LOC |
| tests.integration.test_file_system_integration             |   0.00% imprecise |    1 LOC |
| tests.integration.test_restore_workflow                    |   0.00% imprecise |    1 LOC |
| tests.unit.test_backup_orchestrator                        |   0.00% imprecise |    1 LOC |
| tests.unit.test_cloud_providers                            |   0.00% imprecise |    1 LOC |
| tests.unit.test_gis_services                               |   0.00% imprecise |    1 LOC |
| tests.unit.test_integrity_checker                          |   0.00% imprecise |    1 LOC |
| tests.unit.test_qr_generator                               |   0.00% imprecise |    1 LOC |
| tests.unit.test_repositories                               |   0.00% imprecise |    1 LOC |
| tests.unit.test_tax_calculator                             |   0.00% imprecise |    1 LOC |
| verify_structure                                           |   0.00% imprecise |  307 LOC |
+------------------------------------------------------------+-------------------+----------+
| Total                                                      |  14.24% imprecise | 7661 LOC |
+------------------------------------------------------------+-------------------+----------+
